date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-04-07T11:05:13,True
2024-04-07T11:05:13,True
2024-04-07T11:15:15,True
2024-04-07T11:15:15,True
2024-04-07T13:55:23,True
2024-04-07T13:55:23,True
2024-04-07T13:55:23,True
2024-04-07T13:55:23,True
2024-04-07T16:20:06,True
2024-04-07T16:20:06,True
2024-04-07T16:29:58,True
2024-04-07T17:01:05,True
2024-04-07T17:01:05,True
2024-04-07T17:16:54,True
2024-04-07T17:21:56,True
2024-04-07T17:24:35,True
2024-04-07T19:52:49,True
2024-04-07T19:57:48,True
2024-04-07T20:02:48,True
2024-04-07T20:07:48,True
2024-04-07T20:12:48,True
2024-04-07T20:17:48,True
2024-04-07T20:22:48,True
2024-04-07T20:27:48,True
2024-04-07T20:32:49,True
2024-04-07T20:37:48,True
2024-04-07T20:42:48,True
2024-04-15T00:41:28,True
2024-04-15T00:46:28,True
2024-04-15T00:51:28,True
2024-04-15T00:56:28,True
2024-04-15T01:01:28,True
2024-04-15T01:06:28,True
2024-04-15T01:11:28,True
2024-04-15T01:16:29,True
2024-04-15T01:21:28,True
2024-04-15T01:26:28,True
2024-04-15T01:31:30,True
2024-04-15T01:36:28,True
2024-04-15T01:41:28,True
2024-04-15T01:46:28,True
2024-04-15T01:51:28,True
2024-04-15T01:56:28,True
2024-04-15T02:01:28,True
2024-04-15T02:06:28,True
2024-04-15T02:11:28,True
2024-04-15T02:16:28,True
2024-04-15T02:21:28,True
2024-04-15T02:26:28,True
2024-04-15T02:31:28,True
2024-04-15T02:36:28,True
2024-04-15T02:41:28,True
2024-04-15T02:46:28,True
2024-04-15T02:51:28,True
2024-04-15T02:56:28,True
2024-04-15T03:01:28,True
2024-04-15T03:06:28,True
2024-04-15T03:11:28,True
2024-04-15T03:16:28,True
2024-04-15T03:21:28,True
2024-04-15T03:26:28,True
2024-04-15T03:31:28,True
2024-04-15T03:36:28,True
2024-04-15T03:41:28,True
2024-04-15T03:46:28,True
2024-04-15T03:51:28,True
2024-04-15T03:56:28,True
2024-04-15T04:01:28,True
2024-04-15T04:06:28,True
2024-04-15T04:11:28,True
2024-04-15T04:16:28,True
2024-04-15T04:21:28,True
2024-04-15T04:26:28,True
2024-04-15T04:31:28,True
2024-04-15T04:36:28,True
2024-04-15T04:41:28,True
2024-04-15T04:46:28,True
2024-04-15T04:51:28,True
2024-04-15T04:56:28,True
2024-04-15T05:01:28,True
2024-04-15T05:06:28,True
2024-04-15T05:11:28,True
2024-04-15T05:16:28,True
2024-04-15T05:21:28,True
2024-04-15T05:26:28,True
2024-04-15T05:31:28,True
2024-04-15T05:36:28,True
2024-04-15T05:41:28,True
2024-04-15T05:46:28,True
2024-04-15T05:51:28,True
2024-04-15T05:56:28,True
2024-04-15T06:01:28,True
2024-04-15T06:06:28,True
2024-04-15T06:11:28,True
2024-04-15T06:16:28,True
2024-04-15T06:21:28,True
2024-04-15T06:26:28,True
2024-04-15T06:31:28,True
2024-04-15T06:36:28,True
2024-04-15T06:41:28,True
2024-04-15T06:46:28,True
2024-04-15T06:51:28,True
2024-04-15T06:56:28,True
2024-04-15T07:01:28,True
2024-04-15T07:06:28,True
2024-04-15T07:11:28,True
2024-04-15T07:16:28,True
2024-04-15T07:21:28,True
